episode,timestep,reward
2,200,-16.4
4,400,-20.85
6,600,-32.55
8,800,-30.6
10,1000,-15.8
12,1200,-34.5
14,1400,-28.0
16,1600,-28.0
18,1800,-33.85
21,2000,-23.5
23,2200,-28.0
25,2400,-31.25
27,2600,-31.9
29,2800,-27.35
31,3000,-24.75
33,3200,-28.0
35,3400,-23.45
37,3600,-16.9
39,3800,-24.75
41,4000,-28.65
43,4200,-35.15
45,4400,-26.7
47,4600,-22.8
49,4800,-30.6
51,5000,-29.3
53,5200,-29.3
56,5400,-14.5333
58,5600,-29.95
60,5800,-20.2
62,6000,-32.55
64,6200,-22.8
66,6400,-31.25
69,6600,-14.8333
71,6800,-26.05
73,7000,-32.55
75,7200,-26.7
77,7400,-22.8
79,7600,-24.1
81,7800,-28.65
83,8000,-27.35
85,8200,-31.25
87,8400,-23.45
89,8600,-24.75
91,8800,-18.85
93,9000,-32.55
95,9200,-34.5
97,9400,-22.8
99,9600,-30.6
101,9800,-39.05
103,10000,-29.3
105,10200,-33.2
107,10400,-40.35
109,10600,-24.1
111,10800,-31.9
113,11000,-24.1
115,11200,-26.05
117,11400,-31.25
119,11600,-25.4
121,11800,-31.25
123,12000,-10.0
125,12200,-31.9
128,12400,-16.1
130,12600,-31.25
132,12800,-26.3
134,13000,-30.6
136,13200,-34.5
138,13400,-26.7
140,13600,-18.25
142,13800,-18.55
144,14000,-37.1
146,14200,-19.85
148,14400,-22.3
151,14600,-24.4333
153,14800,-35.15
155,15000,-20.85
157,15200,-39.05
159,15400,-28.65
161,15600,-24.1
163,15800,-26.7
165,16000,-25.4
167,16200,-26.7
169,16400,-31.9
171,16600,-21.75
173,16800,-24.1
175,17000,-20.85
177,17200,-32.55
179,17400,-21.5
181,17600,-15.3
183,17800,-27.35
185,18000,-37.1
187,18200,-29.3
189,18400,-25.4
191,18600,-22.8
193,18800,-28.65
195,19000,-25.25
197,19200,-24.1
200,19400,-24.0
202,19600,-35.15
204,19800,-26.05
206,20000,-26.05
208,20200,-22.8
210,20400,-20.85
212,20600,-33.85
214,20800,-13.55
216,21000,-31.9
218,21200,-22.8
220,21400,-22.15
222,21600,-30.6
224,21800,-33.85
226,22000,-24.1
228,22200,-25.4
230,22400,-30.6
232,22600,-20.85
235,22800,-15.4333
237,23000,-11.7
240,23200,-22.4
242,23400,-30.6
244,23600,-33.2
246,23800,-33.85
248,24000,-29.3
250,24200,-21.5
252,24400,-28.65
254,24600,-34.5
256,24800,-26.05
258,25000,-28.65
260,25200,-19.3
262,25400,-24.75
264,25600,-35.15
266,25800,-31.25
268,26000,-29.95
270,26200,-30.6
272,26400,-25.4
274,26600,-24.4
276,26800,-26.05
278,27000,-35.15
280,27200,-31.9
283,27400,-16.4667
285,27600,-23.45
287,27800,-33.2
289,28000,-26.05
291,28200,-29.3
293,28400,-24.75
295,28600,-28.0
297,28800,-27.35
299,29000,-26.7
301,29200,-23.45
303,29400,-28.65
305,29600,-35.15
307,29800,-24.1
309,30000,-29.3
311,30200,-28.0
313,30400,-25.4
315,30600,-21.5
317,30800,-37.1
319,31000,-28.65
321,31200,-22.15
323,31400,-25.4
325,31600,-26.7
327,31800,-29.95
329,32000,-21.5
331,32200,-24.75
333,32400,-34.5
335,32600,-25.4
337,32800,-26.7
339,33000,-22.5
341,33200,-26.05
343,33400,-21.5
345,33600,-32.55
347,33800,-29.3
349,34000,-26.05
351,34200,-24.75
353,34400,-27.35
355,34600,-31.9
357,34800,-34.5
359,35000,-25.4
361,35200,-23.45
363,35400,-28.0
365,35600,-28.0
367,35800,-35.15
369,36000,-22.8
371,36200,-18.25
373,36400,-29.95
375,36600,-24.75
378,36800,-18.7667
380,37000,-11.5
383,37200,-22.4667
385,37400,-21.5
387,37600,-12.0
389,37800,-18.8
391,38000,-29.95
393,38200,-26.7
395,38400,-28.65
397,38600,-31.25
399,38800,-29.95
402,39000,-15.8
404,39200,-16.95
406,39400,-33.2
408,39600,-25.8
410,39800,-37.75
412,40000,-33.85
414,40200,-20.2
416,40400,-22.8
418,40600,-27.35
420,40800,-24.1
422,41000,-33.85
424,41200,-22.8
426,41400,-24.1
428,41600,-23.45
430,41800,-28.0
432,42000,-31.9
434,42200,-26.7
436,42400,-29.3
438,42600,-26.7
440,42800,-26.7
442,43000,-28.0
444,43200,-26.05
446,43400,-24.1
